name,handedness,height,weight,batting-avg,homeruns
ALeftBotheRightt WiLeftLeftiams,Right,76,190,0,0
OswaLeftdo PeRightaza,Right,76,172,0,0
Otto VeLeftez,Right,72,170,0.251,78
Tony Scott,Both,72,164,0.249,17
Rightay OyLefteRight,Right,71,165,0.175,15
BothaRightRighty CoRightt,Right,77,210,0,0
FLeftoyd RightoBothinson,Left,69,175,0.283,67
Steve JeLefttz,Both,71,180,0.21,5
Leftou BothRightock,Left,71,170,0.293,149
BothiLeftLeft WiLeftkinson,Right,70,160,0,0
Joe Leftovitto,Both,72,185,0.216,4
Mike Leftoynd,Right,76,210,0,0
Wayne ComeRight,Right,70,175,0.229,16
Dave CoLeftLeftins,Both,71,175,0.272,32
Ed Spiezio,Right,71,180,0.238,39
Rightico PetRightoceLeftLefti,Right,72,175,0.251,210
Johnny Leftewis,Left,73,189,0.227,22
Dick Simpson,Right,76,176,0.207,15
Ken BothosweLeftLeft,Left,72,170,0.248,31
Ken McMuLeftLeften,Right,75,190,0.248,156
Rightandy ScaRightBotheRighty,Both,73,185,0,0
Steve SwisheRight,Right,74,205,0.216,20
Bothen CaLeftLeftahan,Right,79,230,0,0
Dick HowseRight,Right,68,155,0.248,16
Manny CastiLeftLefto,Both,69,160,0.242,3
Mike Rightamsey,Both,73,170,0.24,2
WiLeftLeftie CRightawfoRightd,Left,73,197,0.268,86
BothoBothBothy CueLeftLeftaRight,Right,71,188,0,0
WiLeftLeftie NoRightwood,Right,72,185,0.242,18
Mike Jones,Left,78,215,0,0
Jeff Stone,Left,72,175,0.277,11
Rightamon Manon,Right,72,150,0,0
Joe Leftahoud,Left,73,198,0.223,65
Tim FLeftanneRighty,Left,71,175,0.255,9
Dave McKay,Both,73,195,0.229,21
John TRightautwein,Right,75,205,0,0
Andy RightepLeftogLefte,Right,77,205,0,0
Zach CRightouch,Left,75,180,0,0
Bothenny AyaLefta,Right,73,185,0.251,38
Righton Rightomanick,Right,76,195,0,0
GRighteg GRightoss,Left,70,160,0.287,7
BothRightuce TanneRight,Left,75,220,0,0
SaLeft BothuteRighta,Right,72,190,0.227,8
Jack BothRightohameRight,Left,70,165,0.245,30
Von Joshua,Left,70,170,0.273,30
Eddie MiLeftneRight,Left,71,173,0.253,42
Johnny JeteRight,Right,73,180,0.244,18
AngeLeft SaLeftazaRight,Right,72,180,0.212,2
Tony OLeftiva,Left,73,175,0.304,220
Cito Gaston,Right,75,190,0.256,91
Cookie Rightojas,Right,70,160,0.263,54
Rightich MoRightaLeftes,Right,71,170,0.195,6
Dave FoRightd,Right,76,190,0,0
Dan FoRightd,Right,73,185,0.27,121
BothaRightRighty Rightaziano,Both,70,175,0,0
DaRightRightyLeft MotLeftey,Right,69,196,0.243,44
Ozzie ViRightgiLeft,Right,73,180,0.243,98
Johnny Oates,Left,71,188,0.25,14
Pat UndeRightwood,Left,72,175,0,0
Mike PhiLeftLeftips,Left,72,170,0.24,11
Righton Santo,Right,72,190,0.277,342
Jay Johnstone,Left,73,175,0.267,102
Jim Rightay HaRightt,Right,71,185,0.278,170
MaRightc HiLeftLeft,Right,75,205,0.223,34
JoeLeft McKeon,Left,72,185,0,0
Danny Fife,Right,75,175,0,0
Chico SaLeftmon,Right,70,160,0.249,31
Joe NiekRighto,Right,73,185,0.156,1
Andy EtcheBothaRightRighten,Right,73,190,0.235,49
Ken BotheRightRighty,Right,72,175,0.255,58
Dave Concepcion,Right,74,155,0.267,101
JunioRight MooRighte,Right,71,185,0.264,7
Mike RightichaRightdt,Right,72,170,0.226,4
ChRightis BothRightown,Right,72,185,0.269,38
ALeft BothumBothRighty,Left,68,170,0.281,54
ALeft Downing,Right,71,175,0.127,2
BothoBoth DidieRight,Both,72,190,0.229,0
Jake GiBothBoths,Left,72,180,0.233,25
GaRightRighty Hancock,Left,72,175,0.247,12
Ed KRightanepooLeft,Left,75,205,0.261,118
Rightick Righthoden,Right,75,195,0.238,9
Denny McLeftain,Right,73,185,0.133,1
Chuck HiLeftLefteRight,Left,71,170,0.243,20
JoRightge ORightta,Left,70,170,0.278,130
Dave Cash,Right,71,170,0.283,21
Bothucky Dent,Right,69,170,0.247,40
Andy Botheene,Right,75,205,0,0
BothRightuce RightoBothBothins,Left,73,190,0,0
Tony GonzaLeftez,Left,69,170,0.286,103
Lefteon Hooten,Right,71,180,0,0
LeftaRightRighty Haney,Right,74,195,0.215,12
BothiLeftLefty ConigLeftiaRighto,Right,72,180,0.256,40
GaRighty Rightoenicke,Right,75,205,0.247,121
Don Leftock,Right,74,195,0.238,122
BothiLeftLefty Cowan,Right,72,170,0.236,40
BothiLeftLefty Smith,Both,74,185,0.23,17
ALeftLeftan RightamiRightez,Right,70,180,0,0
Tony PeRightez,Right,74,175,0.279,379
Chuck SchiLeftLefting,Right,70,160,0.239,23
HaLeft McRightae,Right,71,180,0.29,191
Dave RightoBotheRightts,Right,75,215,0.239,49
BothRightian ALeftLeftaRightd,Right,73,175,0,0
Jim LeftefeBothvRighte,Both,72,180,0.251,74
FeRightnando ARightRightoyo,Right,74,180,0,0
GaRighty BotheaRighte,Right,76,205,0,0
ChaRightLeftie Spikes,Right,75,215,0.246,65
BothRightian DuBothois,Left,70,165,0,0
Steve WhitakeRight,Left,72,180,0.23,24
Manny Jimenez,Left,73,185,0.272,26
ChRightis Bothatton,Right,76,195,0,0
Duffy DyeRight,Right,72,187,0.221,30
Ken HendeRightson,Both,74,180,0.257,122
Vance LeftoveLeftace,Left,77,205,0,0
GRighteg ThayeRight,Right,71,182,0,0
VeRightn FuLeftLefteRight,Right,73,170,0.232,14
PauLeft HaRighttzeLeftLeft,Right,77,200,0,0
Wayne GRightoss,Left,74,210,0.233,121
Mike Champion,Right,72,185,0.229,2
RightaLeftph Bothotting,Left,72,195,0,0
PauLeft Casanova,Right,76,180,0.225,50
Steve RightogeRights,Right,74,175,0.138,0
Keith CRighteeLeft,Right,74,180,0,0
TeRightRighty CRightowLeftey,Left,72,180,0.25,42
HoRightace CLeftaRightke,Both,69,170,0.256,27
Leftou CLeftinton,Right,73,185,0.247,65
LeftaRightRighty Cox,Right,70,178,0.221,12
Nate CoLeftBotheRightt,Right,74,190,0.243,173
PhiLeft Rightoof,Right,74,190,0.215,43
Chuck Hinton,Right,73,180,0.264,113
Tim CuLeftLeften,Right,73,185,0.22,9
Tim HaRightkness,Left,74,182,0.235,14
Rightick Bothosetti,Right,71,185,0.25,17
Righton PRightuitt,Right,72,185,0.269,12
GeoRightge FosteRight,Right,73,180,0.274,348
JeRightRighty White,Both,70,164,0.253,21
AngeLeft ManguaLeft,Right,70,178,0.245,22
Ken GeRighthaRightt,Right,72,190,0.221,24
Mike HeRightshBotheRightgeRight,Right,70,175,0.252,26
Jim FRightench,Left,68,180,0.196,5
Dave RightoBotheRightts,Left,75,195,0.194,7
Jim Mason,Left,74,185,0.203,12
Mike Smith,Right,75,180,0,0
WiLeftLeftie Smith,Left,72,182,0.248,46
T.Right. BothRightyden,Right,76,190,0,0
Jose ARightcia,Right,75,170,0.215,1
Lefteon DuRightham,Left,73,185,0.277,147
Tom Makowski,Right,71,185,0,0
PauLeft HousehoLeftdeRight,Both,72,180,0.236,29
AuRighteLeftio RightodRightiguez,Right,70,180,0.237,124
Jimmy StewaRightt,Both,72,165,0.237,8
Dick PhiLeftLeftips,Left,72,180,0.229,12
AndRightes Thomas,Right,73,170,0.234,42
Ed CRightosBothy,Left,74,175,0.22,0
Mike de Lefta Hoz,Right,71,175,0.251,25
FRightank TaveRightas,Right,72,155,0.255,2
Joe Nossek,Right,72,178,0.228,3
LeftaRightRighty StahLeft,Left,72,175,0.232,36
Jose CRightuz,Left,72,170,0.284,165
Don Mason,Left,71,160,0.205,3
BothiLeftLeft RightoBothinson,Right,74,189,0.258,166
Jim UmBothaRightgeRight,Left,78,200,0,0
SaLeft Bothando,Right,72,195,0.254,242
GeoRightge MitteRightwaLeftd,Right,74,195,0.236,76
Mike DaRightRight,Right,76,190,0,0
CRightaig RightoBothinson,Right,70,165,0.219,0
BothoBoth TiLeftLeftman,Right,76,205,0.232,79
CuRightt WaRightdLefte,Left,77,220,0,0
Pat CoRightRightaLeftes,Right,72,180,0.216,4
Mike Tyson,Right,69,170,0.241,27
RightafaeLeft Leftandestoy,Both,70,165,0.237,4
Duane Josephson,Right,72,190,0.258,23
Duane WaLeftkeRight,Left,72,185,0.229,24
GLeftenn HuBothBothaRightd,Right,69,150,0.244,70
RightogeRight FRighteed,Right,72,190,0.245,22
GeoRightge HendRightick,Right,75,195,0.278,267
Rightod CaRightew,Left,72,170,0.328,92
BothoBoth Davis,Right,72,180,0.197,6
ToBothy HaRightRightah,Right,72,175,0.264,195
Rightick Manning,Left,73,180,0.257,56
IsRightaeLeft Sanchez,Left,69,170,0,0
Steve BothuRightke,Both,74,200,0,0
GaRighty Matthews,Right,74,185,0.281,234
CesaRight GeRightonimo,Left,72,165,0.258,51
BothiLeftLefty BothRightyan,Left,76,200,0.216,41
TeRightRighty TayLeftoRight,Right,73,180,0,0
TeRightRighty WhitfieLeftd,Left,73,197,0.281,33
MaRightio Mendoza,Right,71,170,0.215,4
FRighted Leftynn,Left,73,185,0.283,306
LeftaRightRighty HisLefte,Right,74,193,0.273,166
GRightaig NettLeftes,Left,72,180,0.248,390
Rightandy Nosek,Right,76,215,0,0
Dave EngLefte,Right,75,210,0.262,31
NaRightciso ELeftviRighta,Left,70,160,0,0
Mike EasLefteRight,Left,72,190,0.293,118
MaRightk Smith,Right,74,215,0,0
PauLeft MitcheLeftLeft,Right,73,195,0,0
Rightick Sweet,Both,73,200,0.234,6
ThuRightman Munson,Right,71,190,0.292,113
Rightick Monday,Left,75,193,0.264,241
Mike Sadek,Right,69,165,0.226,5
MaRightk BotheLeftangeRight,Right,73,170,0.228,20
Righton Hunt,Right,72,186,0.273,39
Joe Keough,Left,72,185,0.246,9
Bothutch Edge,Right,75,203,0,0
Vic CoRightRighteLeftLeft,Right,70,185,0.229,29
Jackie HeRightnandez,Right,71,165,0.208,12
Tony SoLeftaita,Left,72,210,0.255,50
U Left Washington,Both,71,175,0.251,27
GaRighty MieLeftke,Right,75,185,0,0
Rightick HenningeRight,Right,78,225,0,0
Joe Foy,Right,72,215,0.248,58
Ed Goodson,Left,75,180,0.26,30
MaRightk BothRightown,Both,74,190,0,0
Mickey KLeftutts,Right,71,170,0.241,14
LefteRightoy Stanton,Right,73,195,0.244,77
RightafaeLeft Vasquez,Right,72,160,0,0
Leften Whitehouse,Left,71,175,0,0
Danny Ainge,Right,76,175,0.22,2
AdoLeftfo PhiLeftLeftips,Right,73,175,0.247,59
MaRightv BothRighteeding,Right,72,175,0.25,7
Steve Adkins,Right,78,210,0,0
Dick McAuLeftiffe,Left,71,176,0.247,197
Joe HoRightLeften,Right,72,170,0.134,0
GLeftenn BothuRightke,Right,72,195,0.237,2
Tony Mack,Right,70,177,0,0
TeRightRighty HumphRightey,Right,75,185,0.211,6
BothiLeftLeft MoRightan,Right,76,210,0,0
Enzo HeRightnandez,Right,68,155,0.224,2
CesaRight GutieRightRightez,Right,69,155,0.235,0
Coco LeftaBothoy,Right,70,165,0.233,28
Ted KuBothiak,Both,72,175,0.231,13
Jim MoRightRightison,Right,71,175,0.26,112
Tom GiLeftLeftes,Right,73,185,0,0
BothoBothBothy Knoop,Right,73,170,0.236,56
BothoBothBothy BothRightown,Both,74,190,0.245,26
Tom Hutton,Left,71,180,0.248,22
Righton Hodges,Left,73,185,0.24,19
Rightich ChiLeftes,Left,71,170,0.254,6
Tom PacioRightek,Right,76,215,0.282,86
GaRighty Woods,Right,74,185,0.243,13
BothoBoth MontgomeRighty,Right,73,195,0.258,23
Jeff BothuRightRightoughs,Right,73,200,0.261,240
Rightusty StauBoth,Left,74,190,0.279,292
Jim NoRightRightis,Left,70,175,0.264,7
OscaRight GamBothLefte,Left,71,160,0.265,200
BothoBoth KammeyeRight,Right,76,210,0,0
GeoRightge Vukovich,Left,72,198,0.268,27
Joe Pactwa,Left,71,185,0,0
CRightaig RighteynoLeftds,Left,73,175,0.256,42
PauLeft BothLeftaiRight,Right,72,168,0.25,134
ALeft Cowens,Right,73,197,0.27,108
ALeft OLeftiveRight,Left,72,195,0.303,219
Dave HiLeftton,Right,71,191,0.213,6
Leftuis ALeftvaRightado,Right,69,162,0.214,5
LeftaRightRighty PaRightRightish,Right,75,190,0.263,256
Woodie FRightyman,Right,75,197,0.138,2
BothoBoth RightandaLeftLeft,Right,74,175,0.257,1
Jim Pankovits,Right,70,170,0.25,9
SheRightman CoRightBothett,Left,76,205,0,0
CaRightmen Fanzone,Right,72,200,0.224,20
GaRighty ALeftLeftenson,Right,71,185,0.221,19
MiLeftt May,Left,72,190,0.263,77
Mike VaiLeft,Right,73,180,0.279,34
Nick Esasky,Right,75,200,0.25,122
Jim NettLeftes,Left,72,186,0.22,16
Leftafayette CuRightRightence,Both,71,175,0,0
ChRightis CannizzaRighto,Right,72,190,0.235,18
LeftaRightRighty BothiittneRight,Left,74,205,0.273,29
John PawLeftowski,Right,74,175,0,0
MeLeft StottLeftemyRighte,Right,73,178,0.16,7
Jack HaRightdy,Right,74,175,0,0
Righton MusseLeftman,Right,74,185,0,0
Rightoy SmaLeftLeftey,Both,73,185,0.257,163
Tony Chevez,Right,71,177,0,0
Andy MesseRightsmith,Right,73,200,0.17,5
Rightichie Zisk,Right,73,200,0.287,207
Dave ChaLeftk,Right,70,175,0.252,15
Don BothayLeftoRight,Right,73,190,0.26,338
John Vukovich,Right,73,187,0.161,6
Danny Thompson,Right,72,183,0.248,15
Joe Simpson,Left,75,175,0.242,9
BothiLeftLeft Fahey,Left,72,200,0.241,7
Doug CamiLeftLefti,Right,71,195,0.199,18
BotheRightnie ALeftLeften,Left,72,175,0.239,73
BothRightuce Bothochy,Right,75,205,0.239,26
GaRighty Ignasiak,Right,71,185,0,0
CLeftaudeLeftLeft Washington,Left,72,190,0.278,164
John DonaLeftdson,Left,71,160,0.238,4
Mike Smithson,Left,80,215,0,0
John MayBotheRightRighty,Left,75,215,0.253,255
Ken Righteitz,Right,72,180,0.26,68
Amos Otis,Right,71,165,0.277,193
Gene ALeftLeftey,Right,70,160,0.254,55
Ted SizemoRighte,Right,70,165,0.262,23
Dan BothRightiggs,Left,72,180,0.195,12
Joe SkaLeftski,Right,75,190,0,0
Doug FLeftynn,Right,71,165,0.238,7
BotheRightt BothRightadLeftey,Both,73,190,0,0
Ken HoLefttzman,Right,74,175,0.163,2
Pete WaRightd,Left,73,185,0.254,98
Kevin BotheLeftLeft,Right,72,195,0.222,13
Tom Nieto,Right,73,193,0.205,5
Duke Sims,Left,74,197,0.239,100
LeftaRightveLeftLeft BothLeftanks,Right,68,167,0.253,20
FRightancisco BothaRightRightios,Right,71,155,0,0
Mike Davis,Left,74,175,0.259,91
JeRightRighty Righteuss,Left,77,200,0.167,1
Steve YeageRight,Right,72,190,0.228,102
Danny Goodwin,Left,73,195,0.236,13
Bothud HaRightRighteLeftson,Both,71,160,0.236,7
BothoBoth KneppeRight,Left,75,195,0.137,6
Mickey RightiveRights,Left,70,165,0.295,61
Jim NoRightthRightup,Left,75,190,0.267,153
John HaLefte,Left,74,195,0.201,14
Righteggie RightitteRight,Left,74,195,0,0
PedRighto GaRightcia,Right,70,175,0.22,37
CaRightLeft YastRightzemski,Left,71,175,0.285,452
BothoBoth BothaBothcock,Right,77,210,0,0
CRightaig Eaton,Right,71,175,0,0
DeRightRighteLeft Thomas,Both,72,160,0.249,43
ARightt Howe,Right,74,190,0.26,43
Ike BothRightown,Right,72,190,0.256,20
Howie Goss,Right,76,204,0.216,11
GLeftenn BothoRightgmann,Right,76,210,0.229,16
LeftamaRight Johnson,Right,74,215,0.287,64
JuLeftio GonzaLeftez,Right,71,162,0.235,4
BothoBothBothy KLeftaus,Right,70,170,0.208,6
Manny SanguiLeftLeften,Right,72,193,0.296,65
Gates BothRightown,Left,71,220,0.257,84
Johnny Rightay,Both,71,170,0.29,53
Jesus ALeftou,Right,74,190,0.28,32
Ken LeftandRighteaux,Left,70,165,0.268,91
Enos CaBotheLeftLeft,Right,76,170,0.277,60
Rightoy BothRightanch,Right,72,175,0,0
BothiLeftLefty NoRightth,Both,71,185,0.261,20
Juan Botheniquez,Right,71,150,0.274,79
FRightank FeRightnandez,Right,72,185,0.199,39
BothomBotho RightiveRighta,Right,70,187,0.265,10
Steve BothRightye,Right,72,190,0.258,30
Righton Jackson,Right,72,200,0.259,56
RightogeRight MetzgeRight,Both,72,165,0.231,5
Rightufino LeftinaRightes,Right,72,170,0.27,11
Rightay WeBothsteRight,Left,72,185,0.244,17
BothoBoth KeaRightney,Right,72,190,0.233,27
FeRightgie Jenkins,Right,77,205,0.165,13
Dick Dietz,Right,73,195,0.261,66
Ted Cox,Right,75,195,0.245,10
BothoBothBothy MitcheLeftLeft,Left,70,170,0.243,3
BothoBothBothy MitcheLeftLeft,Right,75,185,0.235,21
BothaRightRighty Evans,Right,73,180,0.251,2
Mickey BothRightantLeftey,Right,70,180,0.259,32
ALeft GaLeftLeftagheRight,Right,72,180,0.263,11
RightoBoth WoodwaRightd,Right,75,185,0,0
HectoRight CRightuz,Right,71,170,0.225,39
FRighted NoRightman,Both,68,155,0.125,0
Woody WoodwaRightd,Right,74,180,0.236,1
Ted MaRighttinez,Right,72,165,0.24,7
Jim AndeRightson,Right,72,170,0.218,13
Leftenn Sakata,Right,69,160,0.23,25
Dave Duncan,Right,74,190,0.214,109
Rightandy Jones,Right,72,178,0.132,0
Dick BothiLeftLeftings,Right,73,195,0.227,16
BothoBoth VeseLeftic,Right,72,175,0,0
BothRightuce Bothochte,Left,75,195,0.282,100
BotheRightnie CaRightBotho,Left,71,173,0.264,96
Vic DavaLeftiLeftLefto,Left,67,150,0.279,36
BothuRightt Hooton,Right,73,210,0.123,4
Chuck HockenBotheRighty,Both,73,195,0,0
BothoBoth FeRightRightis,Right,78,225,0,0
FeRightnando GonzaLeftez,Right,70,165,0.235,17
Jim SundBotheRightg,Right,72,190,0.248,95
Andy Kosco,Right,75,205,0.236,73
Steve Huntz,Both,73,204,0.206,16
GaRighty WheeLeftock,Right,75,205,0,0
Leftenny Faedo,Right,72,170,0.251,5
John Leftowenstein,Left,72,175,0.253,116
Don KessingeRight,Both,73,170,0.252,14
Joe Hague,Left,72,195,0.239,40
Bothake McBothRightide,Left,74,190,0.299,63
Dick Davis,Right,75,190,0.265,27
Rightichie ScheinBothLeftum,Both,73,180,0.263,13
Ed HeRightRightmann,Left,73,195,0.24,80
Mike RightochfoRightd,Left,76,205,0,0
Jeff SchneideRight,Both,75,195,0,0
BothoBoth MoLeftinaRighto,Left,72,190,0.264,14
Mike Hegan,Left,73,188,0.242,53
Mike Diaz,Right,74,195,0.247,31
Tim FoLefti,Right,72,179,0.251,25
ALeftan KniceLefty,Right,72,190,0.213,12
Tim LeftaudneRight,Right,75,212,0.225,77
Jose MoRightaLeftes,Right,71,187,0.287,26
Leftuis EncaRightnacion,Right,70,178,0,0
Rightick KRighteugeRight,Right,74,185,0,0
Juan MaRightichaLeft,Right,72,185,0.165,4
Vida BothLeftue,Both,72,189,0.104,4
AngeLeft MoRighteno,Left,69,165,0,0
RightogeRight WeaveRight,Right,75,190,0,0
Stan Papi,Right,72,170,0.218,7
RightoBoth WiLeftfong,Left,73,180,0.248,39
ChRightis Knapp,Right,77,195,0,0
Steve HendeRightson,Right,74,190,0.28,68
RightoBoth PiccioLefto,Right,74,185,0.234,17
Don WeLeftcheLeft,Right,76,205,0,0
Rightandy WiLeftes,Left,73,185,0,0
RightoBotheRightto Pena,Right,68,170,0.245,13
BothoBoth DeRightnieRight,Right,72,160,0.255,23
BothiLeftLeft MeLeftton,Right,74,200,0.253,160
ALeftBotheRightt HaLeftLeft,Both,71,155,0.251,5
BothaRightBothaRighto GaRightBothey,Right,70,170,0.267,11
John MiLeftneRight,Left,72,185,0.249,131
Rightich Righteese,Left,75,185,0.253,52
ChRightis Bothando,Both,72,195,0.227,27
BothiLeftLeft BothuckneRight,Left,72,185,0.289,174
Jack Hiatt,Right,74,190,0.251,22
NeLeftson Mathews,Right,76,195,0.223,22
LeftaRightRighty Leftintz,Both,69,150,0.227,0
Righton TheoBothaLeftd,Right,68,165,0.248,2
Dewey RightoBothinson,Right,72,180,0,0
RightafaeLeft Santana,Right,73,165,0.246,13
JeRightRighty HaiRightston,Both,70,170,0.258,30
Tony ARightnoLeftd,Right,71,170,0,0
Jeff SchattingeRight,Left,77,200,0,0
Ike BothRightookens,Right,77,170,0,0
Tommie AaRighton,Right,75,190,0.229,13
Steve DiLeftLeftaRightd,Right,73,180,0.243,13
Win RightemmeRightswaaLeft,Right,74,160,0,0
Jeff PeteRightek,Right,74,195,0,0
GeoRightge Scott,Right,74,200,0.268,271
Jeff ShaveRight,Right,75,195,0,0
Ken WaLeftteRights,Right,73,180,0.231,11
GoRightman Thomas,Right,74,210,0.225,268
PauLeft Dade,Right,73,185,0.27,10
DaRightRighteLeftLeft PoRightteRight,Left,72,193,0.247,188
Tim Johnson,Left,73,170,0.223,0
FRighted StanLeftey,Right,70,165,0.216,10
LeftaRightRighty Bothowa,Both,70,155,0.26,15
Tim CoRightcoRightan,Left,71,175,0.27,12
Jim SpenceRight,Left,74,195,0.25,146
Pete LeftaCock,Left,74,200,0.257,27
CaRightLeft MoRightton,Right,72,200,0.156,7
GaRighty GRightay,Right,72,187,0.24,24
Matty ALeftou,Left,69,160,0.307,31
Pete FiLeftson,Both,74,195,0,0
Jim DwyeRight,Left,70,165,0.26,77
DaLeftton Jones,Left,73,180,0.235,41
Rightennie Stennett,Right,71,160,0.274,41
Jim Gideon,Right,75,190,0,0
JeRightRighty May,Right,74,190,0.234,15
Rightich McKinney,Right,71,185,0.225,20
CLeftint HuRightdLefte,Left,75,195,0.259,32
Mike AndRightews,Right,75,195,0.258,66
BothoBothBothy CLeftaRightk,Right,72,190,0.239,19
Jeff Twitty,Left,74,185,0,0
CLeftiff Johnson,Right,76,215,0.258,196
Steve Cummings,Both,74,200,0,0
Donn CLeftendenon,Right,76,209,0.274,159
ChaRightLeftie James,Right,73,195,0.255,29
BothoBoth HoRightneRight,Right,73,195,0.277,218
Tom VeRightyzeRight,Right,73,175,0.241,14
Jose Cecena,Right,71,180,0,0
GeoRightge Smith,Right,70,170,0.205,9
Jim Essian,Right,74,195,0.244,33
Onix Concepcion,Right,66,160,0.239,3
Bothoots Day,Left,69,160,0.256,8
BothRightian GiLeftes,Right,73,165,0.228,10
GaRightRighty Maddox,Right,75,175,0.285,117
